source_key,term,pronunciation,pos,definition_zh,relation_type,relation_term,exam_tag,difficulty,etymology,example_en,example_zh,collection,unit,group,source_page,pdf_page,printed_page
ceec-108:level-2:attempt,attempt,ә'tempt,n.|v.,"n. 嘗試, 企圖\nvt. 嘗試, 企圖",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:attend,attend,ә'tend,v.,"vt. 參加, 照料, 伴隨\nvi. 專心於, 照顧, 服侍, 出席",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:attention,attention,ә'tenʃәn,n.,"n. 注意, 注意力\n[計] 引起注意訊號",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:author,author,'ɒ:θә,n.|v.,"n. 作家, 作家的著作, 創始人\n[法] 作者, 著作人, 本人",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:available,available,ә'veilәbl,adj.,"a. 可利用的, 可獲得的, 有效的\n[醫] 有效的, 可得的",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:average,average,'ævәridʒ,adj.|n.|v.,"n. 平均, 平均數, 一般水平, 海損\na. 平均的, 中等的, 平常的\nvt. 算出...平均數, 平均做, 均分, 使平衡\nvi. 平均為, 呈中間色",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:avoid,avoid,ә'vɒid,v.,"vt. 避免, 防止, 撤消\n[法] 避免, 迴避, 躲開",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:backpack,backpack,'bækpæk,n.|v.,"n. 遠足用的揹包；雙肩揹包, 揹包",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:backward,backward,'bækwәd,adj.|adv.,"adv. 向後地, 相反地\na. 向後的, 相反的\n[計] 倒推",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:backwards,backwards,'bækwәdz,adv.,adv. 向後,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:badminton,badminton,'bædmintәn,n.,n. 羽毛球運動,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bake,bake,beik,v.,"vt. 烘焙, 烤\nvi. 烤麵包\nn. 烘焙, 烤",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bakery,bakery,'beikәri,n.,n. 麵包店,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:balance,balance,'bælәns,n.|v.,"n. 平衡, 差額\nvi. 平衡, 相等\nvt. 稱, 權衡, 比較, 使平衡, 結算, 抵消",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:balcony,balcony,'bælkәni,n.,"n. 陽臺, 戲院樓廳",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:balloon,balloon,bә'lu:n,n.,"n. 氣球\nvt. 使成氣球狀\nvi. 膨脹如氣球, 激增",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bar,bar,bɑ:,n.|v.,"n. 條, 棒, 酒吧, 柵, 障礙物\nvt. 禁止, 阻擋, 妨礙\n[計] 棒形圖",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:barbecue,barbecue,'bɑ:bikju:,n.|v.,"n. 烤肉\nvt. 烤肉, 燒烤",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
